control,r_samehh
'152929160140','2'
'152929320140','1'
'152929570140','2'
'153336190143','1'
'153336350143','1'
'153549840142','1'
'153711340147','2'
'153711590147','1'
'153853740148','1'
'154549200148','2'
'154596450149','2'
'154711100144','1'
'154711360144','1'
'154711510144','1'
'154853760145','1'
'154853920145','1'
'155288230144','2'
'155549640342','1'
'155549890145','2'
'155596640243','2'
'155670570141','2'
'155711790141','1'
'155711950141','1'
'155929130140','1'
'156288250141','2'
'156288660141','2'
'156549400142','1'
'156711310147','2'
'156711560147','2'
'156853970148','1'
'157037760146','1'
'157288020147','2'
'157549270148','1'
'157549680148','2'
'157596420149','2'
'157596830149','1'
'157711170144','1'
'157711330144','1'
'157853990145','1'
'157929330243','1'
'158288040144','1'
'158549600145','1'
'158596440146','2'
'158596850146','2'
'158711190141','2'
'158711350141','1'
'158711500141','2'
'158853750142','2'
'159037550149','1'
'159288060141','2'
'159549210142','1'
'159549870242','2'
'159596460143','2'
'159596870143','1'
'159853110148','1'
'159853370148','1'
'159929770149','1'
'159929930149','1'
'160288230147','2'
'160288640147','2'
'160549890148','1'
'160670160144','1'
'160711790144','2'
'160711950144','1'
'160929540143','1'
'161288250144','1'
'161288660144','1'
'161494310144','2'
'161494560144','1'
'161549400145','2'
'161579900142','1'
'161596000143','1'
'161711710141','1'
'161926710145','2'
'161929310140','1'
'161929560140','1'
'162037760149','1'
'162288270141','2'
'162288680141','1'
'162494170141','2'
'162494330141','1'
'162549420142','2'
'162549830142','1'
'162596020140','2'
'162711170147','1'
'162711330147','1'
'162853990148','2'
'162926730142','2'
'162926990142','2'
'163037780146','1'
'163037940146','2'
'163288040147','1'
'163502750149','1'
'163502910149','1'
'163549290148','2'
'163549600148','2'
'163579380145','1'
'163579530145','1'
'163596040246','2'
'163596440149','2'
'163596850149','1'
'163711190144','2'
'163926190148','1'
'163926500148','1'
'164037960143','2'
'164549210145','2'
'164549620145','2'
'164579140142','1'
'164579550142','1'
'164596460146','1'
'164596870146','2'
'164670300241','1'
'164926110145','2'
'164926370145','1'
'164926520145','1'
'165037730149','2'
'165037990149','1'
'165288240141','1'
'165579170148','1'
'165579330148','2'
'165596090140','1'
'165596090249','2'
'165926960142','2'
'166037750146','1'
'166037910146','2'
'166258960141','1'
'166288010147','1'
'166383140144','1'
'166383300144','1'
'166383550144','1'
'166494570247','2'
'166502720149','2'
'166549260148','1'
'166549670148','1'
'166579350145','1'
'166579500145','2'
'166596410149','2'
'166778960145','2'
'166926160148','1'
'166926570148','2'
'167037770143','1'
'167037930143','2'
'167129160240','2'
'167258160147','2'
'167258320147','1'
'167288030144','2'
'167383160141','1'
'167383320141','2'
'167383570141','2'
'167494180244','2'
'167502900146','2'
'167549280145','2'
'167550720148','1'
'167550980148','1'
'167579110142','2'
'167579370142','1'
'167579520142','1'
'167596430146','1'
'167596840146','1'
'167778720142','1'
'167778980142','1'
'167926180145','2'
'167926340145','1'
'167926590145','2'
'168037540149','1'
'168037790140','1'
'168037950140','1'
'168129740149','2'
'168258590144','1'
'168288050141','2'
'168288450341','2'
'168502760143','1'
'168549200142','1'
'168549450242','2'
'168549610142','1'
'168583180243','2'
'168596450143','1'
'168596860143','1'
'168778340148','1'
'168778590148','1'
'168926100142','1'
'168926510142','1'
'169037150146','2'
'169037310146','2'
'169037560146','1'
'169129760146','1'
'169129920146','1'
'169258100141','2'
'169258360141','2'
'169258510141','1'
'169383360244','2'
'169502380149','2'
'169502530149','1'
'169502780140','1'
'169502940140','1'
'169550760142','2'
'169550920142','1'
'169583360240','2'
