control,ownhere,JWNHER
'184121140145','-6','-9'
'184121300145','2','-9'
'184121550145','1','-9'
'184125320245','2','-9'
'184142050249','2','-9'
'184169700146','1','-9'
'184185470147','2','2'
'184196760147','1','-9'
'184196920147','1','-9'
'184229370148','2','-9'
'184267910147','-6','-9'
'184269190146','-6','-9'
'184269500146','-6','-9'
'184273510141','-6','-9'
'184282320144','2','-9'
'184282570144','2','-9'
'184294750140','2','-9'
'184294750249','2','-9'
'184294910140','2','-9'
'184321510146','2','-9'
'184346980147','2','-9'
'184356450142','1','2'
'184379470141','1','-9'
'184408160146','2','-9'
'184408320146','-6','-9'
'184408570146','2','-9'
'184408650146','2','-9'
'184410590146','1','-9'
'184443300142','1','-9'
'184468320146','2','-9'
'184468570146','2','-9'
'184497740147','-6','-9'
'184500290145','2','-9'
'184500600145','-6','-9'
'184512780146','-6','-9'
'184517590245','1','-9'
'184594070145','1','-9'
'184597380141','-6','-9'
'184597530141','-6','-9'
'184622920149','2','-9'
'184671300145','2','-9'
'184671550145','2','-9'
'184788330149','2','-9'
'184788580149','-6','-9'
'184791410140','2','-9'
'184795570142','1','-9'
'184796980143','1','-9'
'184809150145','2','-9'
'184809310145','-6','-9'
'184809560145','1','-9'
'184818020142','2','-9'
'184822040144','2','-9'
'184828750149','1','-9'
'184873190148','2','-9'
'184873350148','-6','-9'
'184873500148','2','-9'
'184889440142','1','-9'
'184889770142','2','-9'
'184890180144','-6','-9'
'184890590144','1','-9'
'184897720341','-6','-9'
'184925200141','-6','-9'
'184932720145','-6','-9'
'184932980145','2','-9'
'184939100148','2','-9'
'184939360148','2','-9'
'184941660146','1','-9'
'184944110149','1','-9'
'184944370149','2','-9'
'184944520149','2','2'
'184944770140','2','-9'
'184944930140','1','-9'
'184954850146','1','-9'
'185003170141','2','-9'
'185003330141','2','-9'
'185029840149','2','-9'
'185050590144','1','-9'
'185052990149','1','-9'
'185053250146','2','2'
'185086770144','2','-9'
'185121730142','2','-9'
'185125190142','2','-9'
'185125500142','2','-9'
'185129300349','1','-9'
'185144910149','1','-9'
'185168940146','-6','-9'
'185194120142','2','-9'
'185194380142','2','-9'
'185194530142','1','-9'
'185248390142','-6','-9'
'185258140147','-6','-9'
'185269940143','2','-9'
'185273130147','-6','-9'
'185282910141','-6','-9'
'185302900149','-6','-9'
'185303980145','2','-9'
