control,ROTHE,rgroc,rclot,rcarp,rkidc,rmedi,rutil,rcost
'201037370140','2','-9','-9','-9','-9','-9','-9','-9'
'201261970146','2','1','-9','-9','-9','-9','-9','-9'
'201319230103','2','-9','-9','-9','-9','-9','-9','-9'
'201336830133','2','-9','-9','-9','-9','-9','-9','-9'
'201387790144','2','-9','-9','-9','-9','-9','-9','-9'
'201389700146','2','-9','-9','-9','-9','-9','-9','-9'
'201553300146','2','-9','-9','-9','-9','-9','-9','-9'
'201583530133','2','-9','-9','-9','-9','-9','-9','-9'
'201755920140','2','1','-9','-9','-9','-9','-9','-9'
'201763330140','2','-9','-9','-9','-9','-9','1','1'
'201927750143','2','-9','-9','-9','-9','-9','-9','-9'
'202548330142','1','-9','-9','1','-9','-9','-9','-9'
'202579790148','2','-9','-9','-9','-9','-9','-9','-9'
'204818360148','2','1','-9','-9','-9','-9','-9','-9'
'204929140140','2','-9','-9','-9','-9','-9','-9','-9'
'205267130147','2','-9','-9','-9','-9','-9','-9','-9'
'205319190143','2','-9','-9','-9','-9','-9','-9','-9'
'205502170140','1','-9','-9','-9','-9','-9','-9','-9'
'205515580142','2','-9','-9','-9','-9','-9','-9','-9'
'207670550141','2','-9','-9','-9','-9','-9','-9','-9'
'209579590145','2','-9','-9','-9','-9','-9','-9','-9'
'209670590244','2','-9','-9','-9','-9','-9','-9','-9'
'211558560142','2','-9','-9','-9','-9','-9','-9','-9'
'212934550146','1','-9','-9','-9','-9','-9','-9','-9'
'229225930113','2','1','1','1','-9','-9','1','-9'
'229493950147','2','-9','-9','-9','-9','-9','-9','-9'
'229591930113','2','-9','-9','-9','-9','-9','-9','-9'
'229730930113','2','-9','-9','-9','-9','-9','1','1'
'240379048287','1','-9','-9','-9','-9','-9','-9','-9'
'240987048188','2','-9','-9','-9','-9','-9','-9','-9'
'241711380147','1','1','-9','-9','-9','-9','-9','-9'
'241853780148','2','-9','-9','-9','-9','-9','-9','-9'
'242711140144','2','-9','-9','-9','-9','-9','-9','-9'
'242853960145','2','-9','-9','-9','-9','-9','-9','-9'
'245502730133','2','-9','-9','-9','-9','-9','-9','-9'
'246711390141','2','-9','-9','-9','-9','-9','-9','-9'
'246853790142','2','-9','-9','-9','-9','-9','-9','-9'
'248853330145','1','-9','-9','-9','-9','-9','-9','-9'
'249502330133','-7','-7','-9','-9','-9','-9','-9','-9'
'258583530133','2','-9','-9','-9','-9','-9','-9','-9'
'258596760146','2','-9','-9','-9','-9','-9','-9','-9'
'262853980148','2','-9','-9','-9','-9','-9','-9','-9'
'266336230133','2','-9','-9','-9','-9','-9','-9','-9'
'266336830133','2','-9','-9','-9','-9','-9','-9','-9'
'267258560147','2','1','-9','-9','-9','-9','-9','-9'
'267926170145','2','-9','-9','-9','-9','-9','-9','-9'
